username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Steven Sanzone,1539589120611287043,"Brooklyn, NY",2023-01-22 15:45:20,@POTUS Please come up with the plan to help the homeless in this country go around and look at all the homeless cam… https://t.co/nTyg6lYHRx,0,Twitter for Android,
Megan macleod,4609196954,"Manhattan, NY",2023-01-22 15:26:19,@SoCalValleyGal Their better off in a hotel than on the street. Children shouldn’t be exposed to people shooting up… https://t.co/jSSRLN59Oa,0,Twitter for iPhone,
Purranormal,388032307,New york,2023-01-22 15:06:52,"@nyankoke Come to NYC, our whole subway system smells like pee, homeless, and mystery scent😗",0,Twitter for Android,
THE CITY,1043143916340559874,"New York, NY",2023-01-22 15:00:47,"Industry groups and advocates put the heat on Adams and Hochul to tap higher-than-expected tax revenue for housing,… https://t.co/2DDkDCCj2l",0,Buffer,
Law & Crime,4068337756,"Manhattan, NY",2023-01-22 15:00:02,Homeless Woman Indicted in the New Year’s Eve Knife Slayings of Couple in Florida Retirement Home https://t.co/gcFAuALMMx,2,TweetDeck,
BlaiseFit,1254609992944156673,New York ,2023-01-22 14:57:18,@Rideforonika @SouthlandPost Stay your ass in New York &amp; keep dealing with them subway homeless people,0,Twitter for iPhone,
Eric,3319195750,"New York, NY",2023-01-22 14:55:42,@LFCmeli @mikepompeo We have money going to the homeless. Your issue should be more with the trillions going to the… https://t.co/GkEYULpyMS,0,Twitter for iPhone,
The New York Times,807095,New York City,2023-01-22 14:55:04,Mayor Eric Adams announced that New York City would open a new emergency shelter in Brooklyn to help accommodate th… https://t.co/9rj83qmHw9,26,SocialFlow,
Dr. Buzz aka J. Buzz Von Ornsteiner,873604340359057409,"Brooklyn, New York",2023-01-22 14:52:12,"1950s film star Constance Smith was #BornOnThisDay, Jan. 22, 1928. Battling alcoholism, mental illness &amp; suicidal,… https://t.co/V5uxX6JTGI",4,Twitter Web App,
Pi$$ed off Patriot,957053454844923905,"New York, USA",2023-01-22 14:45:00,@ClownWorld_ Subsequently the Pelosi family is said to be homeless 🤪,0,Twitter for iPhone,
Kierkregards,1566553810113273858,New York City,2023-01-22 14:24:34,@LBC @clivebull The type where they give all that money to the homeless and single mothers,0,Twitter Web App,
Erik Schreiber,1104045001321926656,"Jersey City, NJ",2023-01-22 14:12:00,"The increasing inhumanity of capitalism is evident in the growth of laws targeting the homeless, even as the homele… https://t.co/qlFGG5Lw58",5,Twitter Web App,
Leo,938597012,New York,2023-01-22 14:10:50,@prageru I think in today's day and age no one should be living on the streets. Mentally ill people and drug addict… https://t.co/sZRJ3qkCpj,0,Twitter for Android,
farmer,1168125887189082112,"New York, USA",2023-01-22 14:02:26,@RBReich shuddup.  the outta control spending  is the problem. who wants to pay more pay more pay more when they kn… https://t.co/yMMJ0QaUNA,0,Twitter for iPhone,
Michael Comeau,16824221,"Brooklyn, NY",2023-01-22 13:57:53,"@epictrades1 The other day, I saw a homeless man buy an egg roll in a Chinese restaurant. 

He spent $1.10.

And he still left a tip.",0,Twitter Web App,
jimmy,885871201616351233,"New York, NY",2023-01-22 13:54:27,"@RobGeorge @NYDailyNews Good now do a article on the homeless problem, high crime, and bail reform",0,Twitter for iPhone,
Jason Curtis Anderson,1241570477086310401,NYC,2023-01-22 13:51:17,"The west 4th subway station has become one of the worst in NYC. 
Here’s a recent video of a dead homeless person be… https://t.co/FwZVwvW3Jh",15,Twitter for iPhone,
Jenny 8675309🎼🎤,1601670112435527680,New York ,2023-01-22 13:36:57,Have a affair and divorce her &amp; give her nothing &amp; make her homeless &amp; take there son from her &amp; give her no money https://t.co/YHGHpjTQlj,0,Twitter for iPhone,
The Noum,829825843719385088,"New York, USA",2023-01-22 13:23:04,@glennEmartin I know some past mofo's I wouldn't even answer the phone for much less the door. I'd refer them to NY… https://t.co/Ksumu6bm5p,0,Twitter for Android,
